country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","23-06-2026 11:00:00",26.071318,91.87488,SO2,22,33,29
India,Assam,Guwahati,"IITG, Guwahati - PCBA","23-06-2026 11:00:00",26.2028636,91.70046436,PM2.5,7,41,25
India,Assam,Guwahati,"IITG, Guwahati - PCBA","23-06-2026 11:00:00",26.2028636,91.70046436,SO2,36,40,38
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","23-06-2026 11:00:00",26.10887,91.589544,NO2,14,16,15
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","23-06-2026 11:00:00",26.187500,91.744194,PM2.5,NA,NA,NA
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","23-06-2026 11:00:00",26.187500,91.744194,NH3,NA,NA,NA
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","23-06-2026 11:00:00",26.349082,92.68449,NO2,NA,NA,NA
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","23-06-2026 11:00:00",26.446912,91.439057,PM2.5,32,106,50
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","23-06-2026 11:00:00",26.446912,91.439057,NH3,6,6,6
India,Assam,Silchar,"Tarapur, Silchar - PCBA","23-06-2026 11:00:00",24.82827,92.79525,CO,43,56,49
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","23-06-2026 11:00:00",26.987634,94.636574,PM2.5,11,21,16
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","23-06-2026 11:00:00",24.75746,84.366208,PM2.5,13,123,32
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","23-06-2026 11:00:00",25.42742023,86.13886079,PM2.5,13,77,43
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","23-06-2026 11:00:00",25.42742023,86.13886079,PM10,20,116,66
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","23-06-2026 11:00:00",26.80365,84.51954,PM10,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","23-06-2026 11:00:00",26.80365,84.51954,NO2,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","23-06-2026 11:00:00",26.80365,84.51954,SO2,9,12,11
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","23-06-2026 11:00:00",26.80365,84.51954,OZONE,21,23,22
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","23-06-2026 11:00:00",25.251013,86.989001,NH3,1,1,1
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","23-06-2026 11:00:00",25.251013,86.989001,CO,14,58,22
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","23-06-2026 11:00:00",22.1910172,83.5197009,PM2.5,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","23-06-2026 11:00:00",22.1910172,83.5197009,NH3,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","23-06-2026 11:00:00",22.1910172,83.5197009,CO,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","23-06-2026 11:00:00",22.1910172,83.5197009,OZONE,NA,NA,NA
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","23-06-2026 11:00:00",21.258815,81.578979,NH3,4,4,4
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","23-06-2026 11:00:00",21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","23-06-2026 11:00:00",21.237755,81.705301,NO2,1,8,2
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","23-06-2026 11:00:00",21.237755,81.705301,NH3,2,2,2
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","23-06-2026 11:00:00",22.06631475,83.33820077,PM2.5,13,70,34
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","23-06-2026 11:00:00",22.06631475,83.33820077,CO,5,78,8
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","23-06-2026 11:00:00",22.06631475,83.33820077,OZONE,35,35,35
